id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,faithfulness_supported_claims,faithfulness_unsupported_claims,faithfulness_contradicted_claims,relevance,relevance_notes,context_recall,context_recall_notes,context_recall_ratio,context_required_facts,context_supported_facts,context_missing_facts,completeness,completeness_notes,completeness_required_facts,completeness_covered_facts,completeness_missing_facts,retrieved_sources,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu và 4 giờ cho xử lý và khắc phục. [1],Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,All material claims in the answer are directly supported by the retrieved context.,"[""SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu"", ""4 giờ cho xử lý và khắc phục""]",[],[],5,The answer directly and fully addresses the user's question by providing specific SLA times for both initial response and resolution for a P1 ticket.,5,Retrieved context contains every required evidence fact.,1.0,"[""Ticket P1 có SLA phản hồi ban đầu 15 phút"", ""Thời gian xử lý (resolution) là 4 giờ""]","[""Ticket P1 có SLA phản hồi ban đầu 15 phút"", ""Thời gian xử lý (resolution) là 4 giờ""]",[],5,Covers every required fact needed for a fully complete answer.,"[""SLA phản hồi ban đầu 15 phút"", ""thời gian xử lý (resolution) là 4 giờ""]","[""SLA phản hồi ban đầu 15 phút"", ""thời gian xử lý (resolution) là 4 giờ""]",[],"[""support/sla-p1-2026.pdf"", ""support/sla-p1-2026.pdf"", ""support/sla-p1-2026.pdf""]",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,"Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng. Yêu cầu hoàn tiền phải được gửi trong vòng 7 ngày làm việc. CS Agent xem xét trong vòng 1 ngày làm việc. Finance Team xử lý trong 3-5 ngày làm việc. Sản phẩm thuộc danh mục hàng kỹ thuật số, đơn hàng đã áp dụng mã giảm giá đặc biệt, hoặc sản phẩm đã được kích hoạt không được hoàn tiền. [1][2][3]",Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,All material claims in the answer are directly supported by the retrieved context.,"[""Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng."", ""Yêu cầu hoàn tiền phải được gửi trong vòng 7 ngày làm việc."", ""CS Agent xem xét trong vòng 1 ngày làm việc."", ""Finance Team xử lý trong 3-5 ngày làm việc."", ""Sản phẩm thuộc danh mục hàng kỹ thuật số, đơn hàng đã áp dụng mã giảm giá đặc biệt, hoặc sản phẩm đã được kích hoạt không được hoàn tiền.""]",[],[],5,"The answer directly and fully addresses the user's question by specifying the time frame within which a customer can request a refund, which is 7 working days from order confirmation. It also provides additional relevant details about the refund process and exceptions.",5,The retrieved context contains every required evidence fact needed to answer the query.,1.0,"[""Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.""]","[""Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.""]",[],5,The generated answer includes all required facts needed to fully answer the user's query.,"[""Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.""]","[""Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.""]",[],"[""policy/refund-v4.pdf"", ""policy/refund-v4.pdf"", ""policy/refund-v4.pdf""]",baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security. [1]","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,All material claims in the answer are directly supported by the retrieved context.,"[""Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security.""]",[],[],5,"The answer directly and fully addresses the user's question by specifying who needs to approve the Level 3 access: Line Manager, IT Admin, and IT Security.",5,Retrieved context contains every required evidence fact.,1.0,"[""Level 3 (Elevated Access) cần phê duyệt từ Line Manager"", ""Level 3 (Elevated Access) cần phê duyệt từ IT Admin"", ""Level 3 (Elevated Access) cần phê duyệt từ IT Security""]","[""Level 3 (Elevated Access) cần phê duyệt từ Line Manager"", ""Level 3 (Elevated Access) cần phê duyệt từ IT Admin"", ""Level 3 (Elevated Access) cần phê duyệt từ IT Security""]",[],5,The generated answer includes all required facts needed for a fully complete answer.,"[""Level 3 (Elevated Access) cần phê duyệt từ Line Manager"", ""Level 3 (Elevated Access) cần phê duyệt từ IT Admin"", ""Level 3 (Elevated Access) cần phê duyệt từ IT Security""]","[""Level 3 (Elevated Access) cần phê duyệt từ Line Manager"", ""Level 3 (Elevated Access) cần phê duyệt từ IT Admin"", ""Level 3 (Elevated Access) cần phê duyệt từ IT Security""]",[],"[""it/access-control-sop.md"", ""it/access-control-sop.md"", ""it/access-control-sop.md""]",baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền. Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) không được hoàn tiền. [1][2]","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"The answer accurately reflects the retrieved context, which states that digital products are not eligible for refunds.","[""Sản phẩm kỹ thuật số không được hoàn tiền."", ""Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) không được hoàn tiền.""]",[],[],5,"The answer directly and fully addresses the user's question by stating that digital products are not eligible for refunds, specifically mentioning license keys and subscriptions as examples.",5,The retrieved context contains every required evidence fact needed to answer the query.,1.0,"[""Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.""]","[""Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.""]",[],5,Covers every required fact needed for a fully complete answer.,"[""Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.""]","[""Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.""]",[],"[""policy/refund-v4.pdf"", ""policy/refund-v4.pdf"", ""policy/refund-v4.pdf""]",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. [1],Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer is directly supported by the retrieved context.,"[""Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.""]",[],[],5,The answer directly and fully addresses the user's question by specifying the exact number of incorrect login attempts that lead to the account being locked.,5,The retrieved context contains every required evidence fact needed to answer the query.,1.0,"[""Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.""]","[""Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.""]",[],5,The generated answer includes all required facts needed for a fully complete answer.,"[""Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.""]","[""Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.""]",[],"[""support/helpdesk-faq.md"", ""support/helpdesk-faq.md"", ""support/helpdesk-faq.md""]",baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,Escalation trong sự cố P1 diễn ra tự động lên Senior Engineer nếu không có phản hồi trong 10 phút. [1][2],Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The generated answer is directly supported by the retrieved context, which states that escalation for a P1 incident is automatic to a Senior Engineer if there is no response within 10 minutes.","[""Escalation trong sự cố P1 diễn ra tự động lên Senior Engineer nếu không có phản hồi trong 10 phút.""]",[],[],5,"The answer directly and fully addresses the user's question by explaining the escalation process for a P1 incident, specifying the automatic escalation to a Senior Engineer if there is no response within 10 minutes.",5,Retrieved context contains every required evidence fact.,1.0,"[""Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.""]","[""Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.""]",[],5,The generated answer includes all required facts needed to fully answer the query.,"[""Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.""]","[""Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.""]",[],"[""support/sla-p1-2026.pdf"", ""support/sla-p1-2026.pdf"", ""support/sla-p1-2026.pdf""]",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Tài liệu hiện có tên là ""Access Control SOP"", trước đây có tên ""Approval Matrix for System Access"". [1]",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,The answer accurately reflects the information in the retrieved context about the document's current and former names.,"[""Tài liệu hiện có tên là 'Access Control SOP', trước đây có tên 'Approval Matrix for System Access'.""]",[],[],5,"The answer directly addresses the query by identifying the document related to the 'Approval Matrix để cấp quyền hệ thống' as the 'Access Control SOP', and also provides historical context by mentioning its previous name, 'Approval Matrix for System Access'.",5,Retrieved context contains every required evidence fact.,1.0,"[""Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).""]","[""Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).""]",[],5,The generated answer includes all required facts needed for a fully complete answer.,"[""Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).""]","[""Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).""]",[],"[""it/access-control-sop.md"", ""it/access-control-sop.md"", ""it/access-control-sop.md""]",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên có thể làm remote tối đa 2 ngày mỗi tuần. Nhân viên đã qua probation period Lịch remote phải được phê duyệt bởi Team Lead qua HR Portal [1],"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,All material claims in the answer are directly supported by the retrieved context.,"[""Nhân viên có thể làm remote tối đa 2 ngày mỗi tuần."", ""Nhân viên đã qua probation period"", ""Lịch remote phải được phê duyệt bởi Team Lead qua HR Portal""]",[],[],5,The answer directly and fully addresses the user's question by specifying that employees can work remotely up to 2 days per week and provides additional relevant information about the approval process.,5,Retrieved context contains every required evidence fact.,1.0,"[""Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần"", ""điều kiện được Team Lead phê duyệt""]","[""Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần"", ""điều kiện được Team Lead phê duyệt""]",[],5,Covers every required fact needed for a fully complete answer.,"[""Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần"", ""Team Lead phải phê duyệt lịch remote qua HR Portal""]","[""Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần"", ""Team Lead phải phê duyệt lịch remote qua HR Portal""]",[],"[""hr/leave-policy-2026.pdf"", ""hr/leave-policy-2026.pdf"", ""hr/leave-policy-2026.pdf""]",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ thông tin trong tài liệu hiện có để trả lời chắc chắn.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,Accepted abstention: the answer avoids unsupported claims when the corpus lacks sufficient evidence.,[],[],[],5,The abstention is relevant because the benchmark expects the system to admit insufficient evidence.,,No expected evidence because this benchmark case expects abstention / insufficient context.,,[],[],[],5,The answer abstains appropriately for an insufficient-context case instead of hallucinating missing facts.,[],[],[],[],baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Tài liệu đã truy xuất không đề cập đến quy định đặc biệt cho urgent refunds for VIP customers. Quy trình chuẩn áp dụng: Quy trình hoàn tiền chuẩn bao gồm a review by CS Agent and processing by Finance Team. CS Agent reviews within 1 business day Finance Team processes within 3-5 business days [1][2][3],"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,"The generated answer accurately reflects the retrieved context, stating that there is no special rule for urgent refunds for VIP customers and describing the standard refund process.","[""Tài liệu đã truy xuất không đề cập đến quy định đặc biệt cho urgent refunds for VIP customers."", ""Quy trình chuẩn áp dụng: Quy trình hoàn tiền chuẩn bao gồm a review by CS Agent and processing by Finance Team."", ""CS Agent reviews within 1 business day"", ""Finance Team processes within 3-5 business days""]",[],[],3,The answer partially addresses the query by explaining the standard refund process but does not specifically address whether there is a different process for urgent refunds for VIP customers.,3,The retrieved context contains the core evidence about the standard refund process timeline but lacks explicit mention of the absence of a special process for VIP customers.,0.5,"[""Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP."", ""Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.""]","[""Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.""]","[""Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP.""]",3,"The generated answer correctly states that there is no special process for VIP customers and mentions the standard process, but it misses the important qualifier that all refund requests follow the same standard process.","[""No special process for VIP customers"", ""All refund requests follow the same standard process"", ""Standard process takes 3-5 business days""]","[""No special process for VIP customers"", ""Standard process takes 3-5 business days""]","[""All refund requests follow the same standard process""]","[""policy/refund-v4.pdf"", ""policy/refund-v4.pdf"", ""policy/refund-v4.pdf""]",baseline_dense
